-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/02/1981 through 03/21/2023 
Location: Latitude  -34.5994   Longitude -58.5123 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
1981,1,2,19.27,-265.48,22.83,15.15
1981,1,3,22.06,-258.94,29.28,15.07
1981,1,4,24.44,-257.19,32.1,16.14
1981,1,5,25.34,-257.93,32.55,17.34
1981,1,6,23.52,-264.04,28.73,19.63
1981,1,7,21.1,-262.55,26.8,16.2
1981,1,8,22.46,-257.82,29.54,14.2
1981,1,9,25.1,-259.69,32.02,18.56
1981,1,10,26.07,-262.35,31.77,20.98
1981,1,11,24.24,-263.9,28.93,19.68
1981,1,12,24.87,-260.76,31.13,18.74
1981,1,13,26.64,-258.75,34.42,20.03
1981,1,14,21.8,-260.99,28.34,16.18
1981,1,15,20.81,-259.31,27.48,13.63
1981,1,16,23.08,-260.6,29.27,16.71
1981,1,17,24.21,-262.34,29.54,18.73
1981,1,18,25.51,-260.03,31.6,18.48
1981,1,19,24.4,-268.67,26.63,22.15
1981,1,20,22.64,-259.89,27.9,14.63
1981,1,21,18.21,-258.89,24.48,10.23
1981,1,22,19.87,-263.56,25.58,15.98
1981,1,23,23.76,-262.13,29.34,18.31
1981,1,24,24.82,-261.74,30.56,19.15
1981,1,25,24.31,-267.04,28.23,22.12
1981,1,26,25.08,-267.08,28.32,22.25
1981,1,27,25.71,-267.63,28.59,23.07
1981,1,28,24.27,-265.75,28.01,20.62
1981,1,29,21.8,-263.15,27.15,17.16
1981,1,30,21.01,-262.46,26.38,15.69
1981,1,31,21.71,-266.67,25.26,18.79
1981,2,1,23.85,-264.99,28.3,20.14
1981,2,2,24.52,-259.99,30.89,17.73
1981,2,3,21.86,-265.34,25.94,18.12
1981,2,4,18.82,-260.89,24.94,12.68
1981,2,5,19.68,-261.19,25.51,13.55
1981,2,6,21.61,-259.22,28.29,14.36
1981,2,7,24.55,-262.53,29.59,18.98
1981,2,8,20.76,-265.6,25.03,17.48
1981,2,9,21.01,-264.71,25.51,17.06
1981,2,10,21.62,-264.7,26.31,17.86
1981,2,11,24.31,-264.92,28.69,20.46
1981,2,12,22.25,-265.38,26.44,18.67
1981,2,13,19.51,-262.8,25.03,14.68
1981,2,14,16.25,-264.45,21.17,12.47
1981,2,15,19.81,-258.77,27.32,12.94
1981,2,16,19.4,-259.35,26.11,12.3
1981,2,17,23.39,-259.52,29.44,15.81
1981,2,18,21.9,-263.65,26.51,17.0
1981,2,19,22.22,-258.6,29.01,14.47
1981,2,20,24.19,-262.74,29.9,19.49
1981,2,21,25.93,-262.06,31.58,20.48
1981,2,22,26.84,-261.01,32.94,20.8
1981,2,23,27.02,-261.49,32.98,21.3
1981,2,24,27.64,-262.47,33.03,22.35
1981,2,25,28.26,-262.38,33.94,23.17
1981,2,26,27.57,-261.7,33.8,22.34
1981,2,27,28.15,-264.39,32.69,23.94
1981,2,28,22.23,-263.28,27.68,17.81
1981,3,1,22.23,-257.38,30.05,14.28
1981,3,2,23.34,-264.38,28.44,19.65
1981,3,3,20.36,-263.51,26.13,16.49
1981,3,4,21.15,-258.65,28.58,14.08
1981,3,5,22.3,-259.59,28.9,15.33
1981,3,6,20.78,-263.21,26.85,16.91
1981,3,7,19.31,-263.74,25.15,15.74
1981,3,8,21.54,-259.76,28.26,14.87
1981,3,9,24.81,-257.19,32.76,16.8
1981,3,10,25.55,-259.33,32.73,18.9
1981,3,11,21.98,-262.88,26.7,16.43
1981,3,12,21.23,-259.82,27.83,14.5
1981,3,13,23.3,-262.43,28.94,18.22
1981,3,14,22.21,-264.75,25.08,16.69
